HourUTC;HourDK;PriceArea;SpotPriceDKK;SpotPriceEUR
2022-10-19 21:00;2022-10-19 23:00;DK2;978,750000;131,570007
2022-10-19 20:00;2022-10-19 22:00;DK2;1102,079956;148,149994
2022-10-19 19:00;2022-10-19 21:00;DK2;1090,329956;146,570007
2022-10-19 18:00;2022-10-19 20:00;DK2;1238,589966;166,500000
2022-10-19 17:00;2022-10-19 19:00;DK2;1688,050049;226,919998
2022-10-19 16:00;2022-10-19 18:00;DK2;1786,540039;240,160004
2022-10-19 15:00;2022-10-19 17:00;DK2;1471,729980;197,839996
2022-10-19 14:00;2022-10-19 16:00;DK2;1256,670044;168,929993
2022-10-19 13:00;2022-10-19 15:00;DK2;1125,219971;151,259995
2022-10-19 12:00;2022-10-19 14:00;DK2;1059,900024;142,479996
2022-10-19 11:00;2022-10-19 13:00;DK2;1102,380005;148,190002
2022-10-19 10:00;2022-10-19 12:00;DK2;1135,339966;152,619995
2022-10-19 09:00;2022-10-19 11:00;DK2;1300,030029;174,759995
2022-10-19 08:00;2022-10-19 10:00;DK2;1393,390015;187,309998
2022-10-19 07:00;2022-10-19 09:00;DK2;1611,949951;216,690002
2022-10-19 06:00;2022-10-19 08:00;DK2;1842,930054;247,740005
2022-10-19 05:00;2022-10-19 07:00;DK2;1790,189941;240,649994
2022-10-19 04:00;2022-10-19 06:00;DK2;1260,380005;169,429993
2022-10-19 03:00;2022-10-19 05:00;DK2;1105,430054;148,600006
2022-10-19 02:00;2022-10-19 04:00;DK2;990,719971;133,179993
2022-10-19 01:00;2022-10-19 03:00;DK2;930,760010;125,120003
2022-10-19 00:00;2022-10-19 02:00;DK2;903,239990;121,419998
2022-10-18 23:00;2022-10-19 01:00;DK2;931,210022;125,180000
2022-10-18 22:00;2022-10-19 00:00;DK2;979,119995;131,619995
2022-10-18 21:00;2022-10-18 23:00;DK2;1144,780029;153,919998
2022-10-18 20:00;2022-10-18 22:00;DK2;1214,469971;163,289993
2022-10-18 19:00;2022-10-18 21:00;DK2;1242,739990;167,089996
